233,1,702666,'10-32-06
233,2,702642,'28-06-36
233,3,702850,'25-11-05
233,4,702690,'20-22-12
233,5,702814,'06-28-38
233,6,702886,'30-04-18
233,7,702643,'06-16-06
233,8,702826,'22-36-22
233,9,702862,'02-24-18
233,10,702667,'19-01-15
233,11,4600093,04-30-04
233,12,702898,'01-07-25
233,13,702691,'06-32-06
233,14,4600034,'20-26-04
233,15,702874,'04-30-00
233,16,702644,'32-22-16
233,17,4600035,'30-12-30
233,18,702887,'24-30-08
233,19,702668,'14-24-02
233,20,702815,'25-15-25
233,21,702851,'04-06-28
233,22,702692,'24-34-16
233,23,4600095,’22-08-34
233,24,702899,'19-05-35
233,25,702645,'25-31-25
233,26,702839,'02-16-34
233,27,702863,'34-20-02
233,28,702078,'14-00-06
233,29,702693,'15-21-15
233,30,702875,'28-10-00
233,31,702670,'32-10-04
233,32,702694,'02-04-38
233,33,702852,'.08-34-16
233,34,702646,'27-05-15
233,35,702816,'18-00-30
233,36,702888,'20-30-20
233,37,702695,'18-28-22
233,38,702828,'10-20-14
233,39,702864,'02-16-38
233,40,702671,'06-16-26
233,41,702840,'24-14-04
233,42,702900,'06-08-14
233,43,702647,'30-00-06
233,44,4600036,'30-16-10
233,45,702876,'06-36-14
233,46,702696,'22-12-06
233,47,4600037,'06-36-06
233,48,702889,'10-12-38
233,49,702684,04-30-20
233,50,702817,'18-08-38
233,51,702853,'10-12-06
233,52,702648,'29-07-25
233,53,702652,12-22-16
233,54,703001,'26-00-14
233,55,702697,'06-28-22
233,56,702841,'22-00-14
233,57,702865,'12-38-12
233,58,702673,'36-18-36
233,59,702649,'10-28-06
233,60,702877,'34-20-30
233,61,702674,'02-28-10
233,62,702650,'22-12-30
233,63,702854,'16-26-08
233,64,702698,'36-10-16
233,65,702818,'34-20-38
233,66,702890,'35-01-15
233,67,702651,'32-14-24
233,68,702830,'39-21-35
233,69,702866,'24-02-16
233,70,702675,'34-08-26
233,71,702595,30-1230
233,72,703002,'32-10-32
233,73,702699,'17-27-05
233,74,4600038,'26-00-06
233,75,702878,'10-16-06
233,76,4600098,30-00-18
233,77,4600039,'20-22-32
233,78,702891,'39-01-15
233,79,702676,'26-04-14
233,80,702819,'36-10-04
233,81,702855,'33-15-25
233,82,702700,'04-26-32
233,83,4600066,22-04-30
233,84,703003,'18-24-18
233,85,702653,'20-22-16
233,86,702843,'08-30-12
233,87,702867,'36-10-32
233,88,702677,'38-24-02
233,89,702801,'17-35-25
233,90,702879,'22-00-10
233,91,702678,'38-16-06
233,92,702802,'30-08-38
233,93,702856,'36-10-00
233,94,4600081,32-22-08
233,95,702820,'32-14-08
233,96,702892,'24-26-16
233,97,702803,'36-06-24
233,98,702698,36-10-16
233,99,702868,'20-10-20
233,100,702679,'16-18-28
233,101,4600076,28-14-00
233,102,703004,'32-06-36
233,103,4600088,36-38-28
233,104,4600040,'06-20-26
233,105,702880,'16-38-04
233,106,702804,'15-29-15
233,107,702689,'18-00-26
233,108,702893,'08-26-04
233,109,702680,'38-24-10
233,110,4600099,22-04-34
233,111,702857,'24-30-04
233,112,702656,'14-24-18
233,113,702833,'30-36-14
233,114,703005,'08-10-16
233,115,702805,'19-29-15
233,116,702845,'34-08-02
233,117,702869,'32-14-28
233,118,702681,'14-00-10
233,119,702637,'24-34-28
233,120,702881,'30-12-34
233,121,702682,'34-04-10
233,122,702806,'10-12-22
233,123,702858,'08-22-16
233,124,702658,'08-30-00
233,125,702822,'10-28-14
